enterpriseId,Category,Topic Name,Lesson Number,Questions,quizId,Quiz Name,Code,ExpiryDate,Level,Target Audience,QuizTimeLimit,question,options,question_type,answer
289,English Grammer,Vocabulary (Cloze Passages),L1,30 Questions,1,Vocabulary (Cloze Passages) Quiz,,29-12-2023,INTERMEDIATE,All Users,02:00:00,"{""explanation"":"""",""explanationImage"":"""",""question"":""Some words have been deleted in the given passage. Fill in the blanks with the given alternatives. Select the most appropriate option for each blank. Polar bears roam the Arctic ice sheets and swim in that region's coastal waters. They are (1) _______strong swimmers, and their large front paws, (2) they used to paddle, are (3) _______ ebbed. Some polar bears have been seen (4) ______hundreds of miles from land, though they probably cover most of that (5) ______ by floating on sheets of ice. Select the most appropriate option to fill in the blank number (1). "",""url"":""""}","[{""type"":""TEXT"",""option"":""much""},{""type"":""TEXT"",""option"":""very""},{""type"":""TEXT"",""option"":""too""},{""type"":""TEXT"",""option"":""so""}]",MULTIPLE_CHOICE,"{""options"":[{""option"":""very"",""type"":""TEXT""}]}"
289,English Grammer,Vocabulary (Cloze Passages),L1,30 Questions,1,,,,,,,"{""explanation"":"""",""explanationImage"":"""",""question"":""Some words have been deleted in the given passage. Fill in the blanks with the given alternatives. Select the most appropriate option for each blank. Polar bears roam the Arctic ice sheets and swim in that region's coastal waters. They are (1) _______strong swimmers, and their large front paws, (2) they used to paddle, are (3) _______ ebbed. Some polar bears have been seen (4) ______hundreds of miles from land, though they probably cover most of that (5) ______ by floating on sheets of ice. Select the most appropriate option to fill in the blank number (2). "",""url"":""""}","[{""type"":""TEXT"",""option"":""which""},{""type"":""TEXT"",""option"":""those""},{""type"":""TEXT"",""option"":""whom""},{""type"":""TEXT"",""option"":""them""}]",MULTIPLE_CHOICE,"{""options"":[{""option"":""which"",""type"":""TEXT""}]}"
289,English Grammer,Vocabulary (Cloze Passages),L1,30 Questions,1,,,,,,,"{""explanation"":"""",""explanationImage"":"""",""question"":""Some words have been deleted in the given passage. Fill in the blanks with the given alternatives. Select the most appropriate option for each blank. Polar bears roam the Arctic ice sheets and swim in that region's coastal waters. They are (1) _______strong swimmers, and their large front paws, (2) they used to paddle, are (3) _______ ebbed. Some polar bears have been seen (4) ______hundreds of miles from land, though they probably cover most of that (5) ______ by floating on sheets of ice. Select the most appropriate option to fill in the blank number (3). "",""url"":""""}","[{""type"":""TEXT"",""option"":""dimly""},{""type"":""TEXT"",""option"":""faintly""},{""type"":""TEXT"",""option"":""slightly""},{""type"":""TEXT"",""option"":""nimbly""}]",MULTIPLE_CHOICE,"{""options"":[{""option"":""slightly"",""type"":""TEXT""}]}"
289,English Grammer,Vocabulary (Cloze Passages),L1,30 Questions,1,,,,,,,"{""explanation"":"""",""explanationImage"":"""",""question"":""Some words have been deleted in the given passage. Fill in the blanks with the given alternatives. Select the most appropriate option for each blank. Polar bears roam the Arctic ice sheets and swim in that region's coastal waters. They are (1) _______strong swimmers, and their large front paws, (2) they used to paddle, are (3) _______ ebbed. Some polar bears have been seen (4) ______hundreds of miles from land, though they probably cover most of that (5) ______ by floating on sheets of ice. Select the most appropriate option to fill in the blank number (4). "",""url"":""""}","[{""type"":""TEXT"",""option"":""hunting""},{""type"":""TEXT"",""option"":""swimming""},{""type"":""TEXT"",""option"":""running""},{""type"":""TEXT"",""option"":""wandering""}]",MULTIPLE_CHOICE,"{""options"":[{""option"":""swimming"",""type"":""TEXT""}]}"
289,English Grammer,Vocabulary (Cloze Passages),L1,30 Questions,1,,,,,,,"{""explanation"":"""",""explanationImage"":"""",""question"":""Some words have been deleted in the given passage. Fill in the blanks with the given alternatives. Select the most appropriate option for each blank. Polar bears roam the Arctic ice sheets and swim in that region's coastal waters. They are (1) _______strong swimmers, and their large front paws, (2) they used to paddle, are (3) _______ ebbed. Some polar bears have been seen (4) ______hundreds of miles from land, though they probably cover most of that (5) ______ by floating on sheets of ice. Select the most appropriate option to fill in the blank number (5). "",""url"":""""}","[{""type"":""TEXT"",""option"":""distance""},{""type"":""TEXT"",""option"":""water""},{""type"":""TEXT"",""option"":""extent\t""},{""type"":""TEXT"",""option"":""extant""}]",MULTIPLE_CHOICE,"{""options"":[{""option"":""distance"",""type"":""TEXT""}]}"
289,English Grammer,Vocabulary (Cloze Passages),L1,30 Questions,1,,,,,,,"{""explanation"":"""",""explanationImage"":"""",""question"":""In the following passage some words have been deleted. Fill in the blanks with the help of the alternatives given. Select the most appropriate option for each blank. If you don’t have a lump sum to invest in a ﬁxed deposit, you can (1) _______ opt for a long-term recurring deposit, (2) _____ the minimum amount of monthly investment is (3) _______ low as Rupees 100. At the end of the (4) ______ you get back the amount invested (5) ______ with the interest earned on it. It is a good way of saving money regularly. Select the most appropriate option to ﬁll in blank No.1. "",""url"":""""}","[{""type"":""TEXT"",""option"":""ensure\t""},{""type"":""TEXT"",""option"":""surely""},{""type"":""TEXT"",""option"":""sure""},{""type"":""TEXT"",""option"":""assured""}]",MULTIPLE_CHOICE,"{""options"":[{""option"":""surely"",""type"":""TEXT""}]}"
289,English Grammer,Vocabulary (Cloze Passages),L1,30 Questions,1,,,,,,,"{""explanation"":"""",""explanationImage"":"""",""question"":""In the following passage some words have been deleted. Fill in the blanks with the help of the alternatives given. Select the most appropriate option for each blank. If you don’t have a lump sum to invest in a ﬁxed deposit, you can (1) _______ opt for a long-term recurring deposit, (2) _____ the minimum amount of monthly investment is (3) _______ low as Rupees 100. At the end of the (4) ______ you get back the amount invested (5) ______ with the interest earned on it. It is a good way of saving money regularly. Select the most appropriate option to ﬁll in blank No.2. "",""url"":""""}","[{""type"":""TEXT"",""option"":""when""},{""type"":""TEXT"",""option"":""whenever""},{""type"":""TEXT"",""option"":""where""},{""type"":""TEXT"",""option"":""wherefore""}]",MULTIPLE_CHOICE,"{""options"":[{""option"":""where"",""type"":""TEXT""}]}"
289,English Grammer,Vocabulary (Cloze Passages),L1,30 Questions,1,,,,,,,"{""explanation"":"""",""explanationImage"":"""",""question"":""In the following passage some words have been deleted. Fill in the blanks with the help of the alternatives given. Select the most appropriate option for each blank. If you don’t have a lump sum to invest in a ﬁxed deposit, you can (1) _______ opt for a long-term recurring deposit, (2) _____ the minimum amount of monthly investment is (3) _______ low as Rupees 100. At the end of the (4) ______ you get back the amount invested (5) ______ with the interest earned on it. It is a good way of saving money regularly. Select the most appropriate option to ﬁll in blank No.3. "",""url"":""""}","[{""type"":""TEXT"",""option"":""as""},{""type"":""TEXT"",""option"":""so""},{""type"":""TEXT"",""option"":""too""},{""type"":""TEXT"",""option"":""just""}]",MULTIPLE_CHOICE,"{""options"":[{""option"":""too"",""type"":""TEXT""}]}"
289,English Grammer,Vocabulary (Cloze Passages),L1,30 Questions,1,,,,,,,"{""explanation"":"""",""explanationImage"":"""",""question"":""In the following passage some words have been deleted. Fill in the blanks with the help of the alternatives given. Select the most appropriate option for each blank. If you don’t have a lump sum to invest in a ﬁxed deposit, you can (1) _______ opt for a long-term recurring deposit, (2) _____ the minimum amount of monthly investment is (3) _______ low as Rupees 100. At the end of the (4) ______ you get back the amount invested (5) ______ with the interest earned on it. It is a good way of saving money regularly. Select the most appropriate option to ﬁll in blank No.4. "",""url"":""""}","[{""type"":""TEXT"",""option"":""time""},{""type"":""TEXT"",""option"":""interval""},{""type"":""TEXT"",""option"":""tenure""},{""type"":""TEXT"",""option"":""timing""}]",MULTIPLE_CHOICE,"{""options"":[{""option"":""tenure"",""type"":""TEXT""}]}"
289,English Grammer,Vocabulary (Cloze Passages),L1,30 Questions,1,,,,,,,"{""explanation"":"""",""explanationImage"":"""",""question"":""In the following passage some words have been deleted. Fill in the blanks with the help of the alternatives given. Select the most appropriate option for each blank. If you don’t have a lump sum to invest in a ﬁxed deposit, you can (1) _______ opt for a long-term recurring deposit, (2) _____ the minimum amount of monthly investment is (3) _______ low as Rupees 100. At the end of the (4) ______ you get back the amount invested (5) ______ with the interest earned on it. It is a good way of saving money regularly. Select the most appropriate option to ﬁll in blank No.5. "",""url"":""""}","[{""type"":""TEXT"",""option"":""among""},{""type"":""TEXT"",""option"":""along""},{""type"":""TEXT"",""option"":""besides""},{""type"":""TEXT"",""option"":""as well as""}]",MULTIPLE_CHOICE,"{""options"":[{""option"":""along"",""type"":""TEXT""}]}"
