enterpriseId,Category,Topic Name,Lesson Number,Questions,quizId,Quiz Name,Code,ExpiryDate,Level,Target Audience,QuizTimeLimit,question,options,question_type,answer
289,English Grammer,Vocabulary (Cloze Passages),L1,20 QUESTIONS,1,Vocabulary (Cloze Passages) Quiz,,09-11-2023,BASIC,All Users,01:00:00,"{""explanation"":"""",""explanationImage"":"""",""question"":""Some words have been deleted in the given passage. Fill in the blanks with the given alternatives. Select the most appropriate option for each blank. Imagination is not only the uniquely human capacity to envision that which is not, and therefore the foundation of all invention and innovation. In (1)_______ arguably most transformative (2) _______ revelatory capacity, it is (3) ______ power that enables us to (4) ______ with humans whose experiences we have (5) ______  shared. Select the most appropriate option to fill in blank number (1)."",""url"":""""}","[{""type"":""TEXT"",""option"":""his""},{""type"":""TEXT"",""option"":""their""},{""type"":""TEXT"",""option"":""its""},{""type"":""TEXT"",""option"":""our""}]",MULTIPLE_CHOICE,"{""options"":[{""option"":""its"",""type"":""TEXT""}]}"
289,English Grammer,Vocabulary (Cloze Passages),L1,20 QUESTIONS,1,,,,,,,"{""explanation"":"""",""explanationImage"":"""",""question"":""Some words have been deleted in the given passage. Fill in the blanks with the given alternatives. Select the most appropriate option for each blank. Imagination is not only the uniquely human capacity to envision that which is not, and therefore the foundation of all invention and innovation. In (1)_______ arguably most transformative (2) _______ revelatory capacity, it is (3) ______ power that enables us to (4) ______ with humans whose experiences we have (5) ______  shared. Select the most appropriate option to fill in blank number (2)."",""url"":""""}","[{""type"":""TEXT"",""option"":""so""},{""type"":""TEXT"",""option"":""and""},{""type"":""TEXT"",""option"":""all""},{""type"":""TEXT"",""option"":""how""}]",MULTIPLE_CHOICE,"{""options"":[{""option"":""and"",""type"":""TEXT""}]}"
289,English Grammer,Vocabulary (Cloze Passages),L1,20 QUESTIONS,1,,,,,,,"{""explanation"":"""",""explanationImage"":"""",""question"":""Some words have been deleted in the given passage. Fill in the blanks with the given alternatives. Select the most appropriate option for each blank. Imagination is not only the uniquely human capacity to envision that which is not, and therefore the foundation of all invention and innovation. In (1)_______ arguably most transformative (2) _______ revelatory capacity, it is (3) ______ power that enables us to (4) ______ with humans whose experiences we have (5) ______  shared. Select the most appropriate option to fill in blank number (3)."",""url"":""""}","[{""type"":""TEXT"",""option"":""so""},{""type"":""TEXT"",""option"":""few""},{""type"":""TEXT"",""option"":""the""},{""type"":""TEXT"",""option"":""little""}]",MULTIPLE_CHOICE,"{""options"":[{""option"":""the"",""type"":""TEXT""}]}"
289,English Grammer,Vocabulary (Cloze Passages),L1,20 QUESTIONS,1,,,,,,,"{""explanation"":"""",""explanationImage"":"""",""question"":""Some words have been deleted in the given passage. Fill in the blanks with the given alternatives. Select the most appropriate option for each blank. Imagination is not only the uniquely human capacity to envision that which is not, and therefore the foundation of all invention and innovation. In (1)_______ arguably most transformative (2) _______ revelatory capacity, it is (3) ______ power that enables us to (4) ______ with humans whose experiences we have (5) ______  shared. Select the most appropriate option to fill in blank number (4)."",""url"":""""}","[{""type"":""TEXT"",""option"":""empathies""},{""type"":""TEXT"",""option"":""guide""},{""type"":""TEXT"",""option"":""discuss""},{""type"":""TEXT"",""option"":""assimilate""}]",MULTIPLE_CHOICE,"{""options"":[{""option"":""empathies"",""type"":""TEXT""}]}"
289,English Grammer,Vocabulary (Cloze Passages),L1,20 QUESTIONS,1,,,,,,,"{""explanation"":"""",""explanationImage"":"""",""question"":""Some words have been deleted in the given passage. Fill in the blanks with the given alternatives. Select the most appropriate option for each blank. Imagination is not only the uniquely human capacity to envision that which is not, and therefore the foundation of all invention and innovation. In (1)_______ arguably most transformative (2) _______ revelatory capacity, it is (3) ______ power that enables us to (4) ______ with humans whose experiences we have (5) ______  shared. Select the most appropriate option to fill in blank number (5)."",""url"":""""}","[{""type"":""TEXT"",""option"":""spradically""},{""type"":""TEXT"",""option"":""never""},{""type"":""TEXT"",""option"":""sooner""},{""type"":""TEXT"",""option"":""hopefully""}]",MULTIPLE_CHOICE,"{""options"":[{""option"":""never"",""type"":""TEXT""}]}"
289,English Grammer,Vocabulary (Cloze Passages),L1,20 QUESTIONS,1,,,,,,,"{""explanation"":"""",""explanationImage"":"""",""question"":""In the following passage some words have been deleted. Fill in the blanks with the help of the alternatives given. Select the most appropriate option for each blank. I had seen the magic shop from a far several times. I had passed (6) _____once or twice, a shop window of (7) _____ little objects, magic balls, magic hens, wonderful cones, magic dolls and all those (8) ________ of things. But never had I thought of going in (9) _______one day, Gip hauled me by my finger - right (10) _________  to the window. Select the most appropriate option to fill in blank No.1."",""url"":""""}","[{""type"":""TEXT"",""option"":""them""},{""type"":""TEXT"",""option"":""these""},{""type"":""TEXT"",""option"":""this""},{""type"":""TEXT"",""option"":""it""}]",MULTIPLE_CHOICE,"{""options"":[{""option"":""it"",""type"":""TEXT""}]}"
289,English Grammer,Vocabulary (Cloze Passages),L1,20 QUESTIONS,1,,,,,,,"{""explanation"":"""",""explanationImage"":"""",""question"":""In the following passage some words have been deleted. Fill in the blanks with the help of the alternatives given. Select the most appropriate option for each blank. I had seen the magic shop from a far several times. I had passed (6) _____once or twice, a shop window of (7) _____ little objects, magic balls, magic hens, wonderful cones, magic dolls and all those (8) ________ of things. But never had I thought of going in (9) _______one day, Gip hauled me by my finger - right (10) _________  to the window. Select the most appropriate option to fill in blank No.2."",""url"":""""}","[{""type"":""TEXT"",""option"":""alluring""},{""type"":""TEXT"",""option"":""allures""},{""type"":""TEXT"",""option"":""allured""},{""type"":""TEXT"",""option"":""allure""}]",MULTIPLE_CHOICE,"{""options"":[{""option"":""alluring"",""type"":""TEXT""}]}"
289,English Grammer,Vocabulary (Cloze Passages),L1,20 QUESTIONS,1,,,,,,,"{""explanation"":"""",""explanationImage"":"""",""question"":""In the following passage some words have been deleted. Fill in the blanks with the help of the alternatives given. Select the most appropriate option for each blank. I had seen the magic shop from a far several times. I had passed (6) _____once or twice, a shop window of (7) _____ little objects, magic balls, magic hens, wonderful cones, magic dolls and all those (8) ________ of things. But never had I thought of going in (9) _______one day, Gip hauled me by my finger - right (10) _________  to the window. Select the most appropriate option to fill in blank No.3."",""url"":""""}","[{""type"":""TEXT"",""option"":""design""},{""type"":""TEXT"",""option"":""sort""},{""type"":""TEXT"",""option"":""shape""},{""type"":""TEXT"",""option"":""pattern""}]",MULTIPLE_CHOICE,"{""options"":[{""option"":""sort"",""type"":""TEXT""}]}"
289,English Grammer,Vocabulary (Cloze Passages),L1,20 QUESTIONS,1,,,,,,,"{""explanation"":"""",""explanationImage"":"""",""question"":""In the following passage some words have been deleted. Fill in the blanks with the help of the alternatives given. Select the most appropriate option for each blank. I had seen the magic shop from a far several times. I had passed (6) _____once or twice, a shop window of (7) _____ little objects, magic balls, magic hens, wonderful cones, magic dolls and all those (8) ________ of things. But never had I thought of going in (9) _______one day, Gip hauled me by my finger - right (10) _________  to the window. Select the most appropriate option to fill in blank No.4."",""url"":""""}","[{""type"":""TEXT"",""option"":""while""},{""type"":""TEXT"",""option"":""until""},{""type"":""TEXT"",""option"":""after""},{""type"":""TEXT"",""option"":""since""}]",MULTIPLE_CHOICE,"{""options"":[{""option"":""until"",""type"":""TEXT""}]}"
289,English Grammer,Vocabulary (Cloze Passages),L1,20 QUESTIONS,1,,,,,,,"{""explanation"":"""",""explanationImage"":"""",""question"":""In the following passage some words have been deleted. Fill in the blanks with the help of the alternatives given. Select the most appropriate option for each blank. I had seen the magic shop from afar several times. I had passed (6) _____once or twice, a shop window of (7) _____ little objects, magic balls, magic hens, wonderful cones, magic dolls and all those (8) ________ of things. But never had I thought of going in (9) _______one day, Gip hauled me by my finger - right (10) _________  to the window. Select the most appropriate option to fill in blank No.5."",""url"":""""}","[{""type"":""TEXT"",""option"":""out""},{""type"":""TEXT"",""option"":""up""},{""type"":""TEXT"",""option"":""down""},{""type"":""TEXT"",""option"":""in""}]",MULTIPLE_CHOICE,"{""options"":[{""option"":""up"",""type"":""TEXT""}]}"
